full.code,unique_ind_id,hh_id,site_code,date,time_point,skip_eating_days,reduce_meals_days,hunt_days,gather_days,restrict_nonworkers,restrict_children,restrict_adults,limit_portions,send_beg,send_to_others,consume_stock,harvest_early,purchase_on_credit,borrow_food,less_preferred
S5.65.04.T09,S5.65.04,S5.65,S5,2022-11-24,T09,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
S5.65.01.T10,S5.65.01,S5.65,S5,2023-02-04,T10,0,0,0,0,0,0,0,7,0,0,0,7,0,0,7
S5.65.01.T11,S5.65.01,S5.65,S5,2023-03-30,T11,0,5,0,0,0,0,0,7,0,0,0,0,1,0,2
S5.66.01.T08,S5.66.01,S5.66,S5,2022-10-21,T08,0,4,0,2,0,0,0,6,0,0,0,0,1,0,3
S5.66.02.T09,S5.66.02,S5.66,S5,2022-11-25,T09,0,0,0,3,0,0,0,6,0,0,0,0,2,1,4
S5.66.01.T10,S5.66.01,S5.66,S5,2023-02-03,T10,0,0,0,0,0,0,0,7,0,0,0,7,0,0,7
S5.66.01.T11,S5.66.01,S5.66,S5,2023-03-30,T11,0,5,0,0,0,0,0,7,0,0,0,0,3,0,2
S6.01.01.T01,S6.01.01,S6.01,S6,2021-08-04,T01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
S6.01.01.T02,S6.01.01,S6.01,S6,2021-11-19,T02,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
S6.01.01.T03,S6.01.01,S6.01,S6,2022-01-11,T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.01.01.T04,S6.01.01,S6.01,S6,2022-03-31,T04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.01.01.T05,S6.01.01,S6.01,S6,2022-05-19,T05,0,7,0,0,0,5,5,6,0,3,0,0,0,0,5
S6.01.01.T06,S6.01.01,S6.01,S6,2022-07-07,T06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.01.01.T07,S6.01.01,S6.01,S6,2022-08-24,T07,0,7,0,0,0,0,0,3,0,0,0,0,1,0,4
S6.01.01.T08,S6.01.01,S6.01,S6,2022-10-18,T08,0,3,0,4,0,0,0,6,0,0,0,0,0,0,4
S6.01.01.T09,S6.01.01,S6.01,S6,2022-11-23,T09,0,1,0,3,0,0,0,5,0,0,0,0,0,0,4
S6.01.01.T10,S6.01.01,S6.01,S6,2023-02-02,T10,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0
S6.01.01.T11,S6.01.01,S6.01,S6,2023-03-27,T11,1,1,0,0,0,0,0,7,0,0,0,0,0,0,0
S6.02.01.T01,S6.02.01,S6.02,S6,2021-08-06,T01,0,3,0,0,3,2,1,3,1,0,2,2,4,3,6
S6.02.01.T02,S6.02.01,S6.02,S6,2021-11-19,T02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.02.02.T03,S6.02.02,S6.02,S6,2022-01-12,T03,0,2,0,0,0,0,0,3,0,0,0,0,2,0,0
S6.02.01.T04,S6.02.01,S6.02,S6,2022-03-31,T04,0,0,0,0,0,0,2,5,0,0,0,0,0,0,7
S6.02.01.T05,S6.02.01,S6.02,S6,2022-05-19,T05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.02.01.T06,S6.02.01,S6.02,S6,2022-07-07,T06,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0
S6.02.01.T07,S6.02.01,S6.02,S6,2022-08-24,T07,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6
S6.02.02.T08,S6.02.02,S6.02,S6,2022-10-18,T08,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.02.01.T09,S6.02.01,S6.02,S6,2022-11-23,T09,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
S6.02.01.T10,S6.02.01,S6.02,S6,2023-02-02,T10,3,7,0,0,0,0,0,0,0,0,0,0,0,0,7
S6.02.01.T11,S6.02.01,S6.02,S6,2023-03-27,T11,4,4,0,0,0,0,0,7,0,0,0,0,0,0,4
S6.03.01.T01,S6.03.01,S6.03,S6,2021-08-04,T01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.03.01.T02,S6.03.01,S6.03,S6,2021-11-18,T02,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.03.02.T03,S6.03.02,S6.03,S6,2022-01-11,T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.03.01.T04,S6.03.01,S6.03,S6,2022-03-31,T04,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.03.02.T05,S6.03.02,S6.03,S6,2022-05-20,T05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.03.02.T06,S6.03.02,S6.03,S6,2022-07-07,T06,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.03.02.T08,S6.03.02,S6.03,S6,2022-10-18,T08,7,7,0,0,0,0,0,0,0,0,0,0,0,0,7
S6.03.01.T09,S6.03.01,S6.03,S6,2022-11-23,T09,0,0,0,3,0,0,0,7,0,0,0,0,0,0,7
S6.03.03.T10,S6.03.03,S6.03,S6,2023-02-02,T10,0,4,4,0,0,0,0,7,0,0,0,7,0,0,7
S6.03.02.T11,S6.03.02,S6.03,S6,2023-03-28,T11,5,5,0,5,0,0,0,7,0,0,0,0,0,0,0
S6.04.01.T01,S6.04.01,S6.04,S6,2021-08-04,T01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.04.01.T02,S6.04.01,S6.04,S6,2021-11-18,T02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.04.01.T03,S6.04.01,S6.04,S6,2022-01-11,T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.04.01.T04,S6.04.01,S6.04,S6,2022-03-31,T04,0,0,0,0,2,0,0,5,0,2,0,0,0,0,6
S6.04.01.T05,S6.04.01,S6.04,S6,2022-05-19,T05,0,5,0,2,3,0,0,5,2,0,1,0,0,0,4
S6.04.01.T06,S6.04.01,S6.04,S6,2022-07-07,T06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.04.02.T07,S6.04.02,S6.04,S6,2022-08-24,T07,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
S6.04.02.T08,S6.04.02,S6.04,S6,2022-10-18,T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.04.02.T09,S6.04.02,S6.04,S6,2022-11-23,T09,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
S6.04.01.T10,S6.04.01,S6.04,S6,2023-02-02,T10,0,0,0,0,0,0,0,7,0,0,0,2,0,0,2
S6.04.01.T11,S6.04.01,S6.04,S6,2023-03-28,T11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
S6.05.01.T01,S6.05.01,S6.05,S6,2021-08-05,T01,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
S6.05.01.T05,S6.05.01,S6.05,S6,2022-05-20,T05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.05.02.T06,S6.05.02,S6.05,S6,2022-07-07,T06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.05.01.T07,S6.05.01,S6.05,S6,2022-08-24,T07,0,4,0,0,0,0,0,3,0,0,0,0,0,1,5
S6.05.02.T08,S6.05.02,S6.05,S6,2022-10-18,T08,0,5,0,4,0,0,0,4,0,0,0,0,1,0,4
S6.05.01.T09,S6.05.01,S6.05,S6,2022-11-23,T09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.05.02.T10,S6.05.02,S6.05,S6,2023-02-02,T10,0,0,0,0,0,0,0,7,0,0,0,7,0,0,7
S6.05.02.T11,S6.05.02,S6.05,S6,2023-03-27,T11,4,7,0,0,0,0,0,7,0,0,0,0,0,0,4
S6.06.01.T01,S6.06.01,S6.06,S6,2021-08-04,T01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.06.02.T02,S6.06.02,S6.06,S6,2021-11-20,T02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.06.01.T03,S6.06.01,S6.06,S6,2022-01-12,T03,0,0,0,0,0,2,0,2,1,0,0,0,0,2,5
S6.06.01.T04,S6.06.01,S6.06,S6,2022-03-31,T04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.06.01.T05,S6.06.01,S6.06,S6,2022-05-19,T05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S6.06.01.T06,S6.06.01,S6.06,S6,2022-07-07,T06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.06.01.T07,S6.06.01,S6.06,S6,2022-08-24,T07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.06.01.T08,S6.06.01,S6.06,S6,2022-10-18,T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.06.01.T09,S6.06.01,S6.06,S6,2022-11-23,T09,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
S6.06.01.T10,S6.06.01,S6.06,S6,2023-02-02,T10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3
S6.06.01.T11,S6.06.01,S6.06,S6,2023-03-28,T11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
S6.07.01.T01,S6.07.01,S6.07,S6,2021-08-04,T01,0,0,0,0,0,0,1,2,0,0,0,0,1,0,6
S6.07.01.T02,S6.07.01,S6.07,S6,2021-11-19,T02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.07.01.T03,S6.07.01,S6.07,S6,2022-01-12,T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.07.01.T04,S6.07.01,S6.07,S6,2022-03-31,T04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
S6.07.01.T05,S6.07.01,S6.07,S6,2022-05-19,T05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6.07.01.T06,S6.07.01,S6.07,S6,2022-07-07,T06,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4
S6.07.01.T07,S6.07.01,S6.07,S6,2022-08-24,T07,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0
S6.07.01.T08,S6.07.01,S6.07,S6,2022-10-18,T08,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
S6.07.01.T09,S6.07.01,S6.07,S6,2022-11-23,T09,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
S6.07.01.T10,S6.07.01,S6.07,S6,2023-02-02,T10,1,5,0,0,0,0,0,7,0,0,0,3,3,0,4
